nohup: ignoring input
432
standard .xyz file  H288O144
H	6.7636770	20.7695690	17.3610637
H	5.9471760	20.2981620	18.6944048
O	20.2360590	15.5840560	7.3609310
H	20.2360680	14.6412360	7.6942738
H	21.0525690	16.0554580	7.6942738
O	13.4998730	16.8804360	3.6942157
H	13.4998820	16.8804300	2.6942024
H	14.3163830	16.4090230	4.0275434
O	13.4998730	16.8804360	22.9444712
H	14.3163830	16.4090230	22.6111435
H	13.4998820	16.8804300	23.9444845
O	13.4998730	19.4731950	4.6108945
H	13.4998730	18.5303700	4.2775668
H	13.4998730	19.4731840	5.6109078
O	13.4998730	19.4731950	22.0277923
H	12.6833620	19.9445970	22.3611351
H	13.4998640	18.5303750	22.3611351
O	20.2360590	7.8057780	11.9443252
H	19.4195480	8.2771910	11.6109975
H	20.2360500	7.8057840	12.9443385
O	2.2728960	15.5840560	11.9443252
H	3.0894060	16.0554690	11.6109975
H	2.2729050	15.5840610	12.9443385
O	4.5182910	11.6949170	7.3609310
H	4.5182820	11.6949220	6.3609178
H	3.7017810	12.1663300	7.6942588
O	4.5182910	11.6949170	19.2777559
H	3.7017810	12.1663300	18.9444281
H	4.5182820	11.6949220	20.2777691
O	20.2360590	7.8057780	14.6943617
H	19.4195580	8.2771960	15.0277045
H	21.0525600	8.2771960	15.0277045
O	15.7452680	12.9912970	22.9444712
H	15.7452770	13.9341170	22.6111284
H	16.5617790	12.5198950	22.6111284
O	2.2728960	15.5840560	14.6943617
H	1.4563940	16.0554740	15.0277045
H	3.0893970	16.0554740	15.0277045
O	15.7452680	12.9912970	3.6942157
H	15.7452770	12.9912910	2.6942024
H	16.5617790	12.5198840	4.0275434
O	2.2728960	12.9912970	15.6110405
H	2.2729050	13.9341170	15.2776977
H	3.0894060	12.5198950	15.2776977
O	20.2360590	20.7695750	11.0276464
H	19.4195580	20.2981570	11.3609891
H	21.0525600	20.2981570	11.3609891
5
standard .xyz file  H2Lp2O
O	0.0000000	0.0000000	0.0000000
H	-0.2399870	0.0000000	0.9266270
H	0.9572000	0.0000020	0.0000000
Lp	-0.2473730	0.5715440	-0.3196020
Lp	-0.2473730	-0.5715440	-0.3196020
There are 144 H2O in 0000.xyz
Treating No.1 H2O
Get Array from ref:
11.2544770 15.5840560 11.9443252 
10.4379670 16.0554690 11.6109975 
11.2544680 15.5840610 12.9443385 
Get Array from TIP5P:
0.0000000 0.0000000 0.0000000 
-0.2399870 0.0000000 0.9266270 
0.9572000 0.0000020 0.0000000 
mov_com
0.7172130 0.0000020 0.9266270 
mov2ref
10.7432330 15.7411947 11.8576780 
MC of tip5p is 0.0401334
0.0000001
0.0518517
before move, tip5p is
5
standard .xyz file  H2Lp2O
O	0.0000000	0.0000000	0.0000000
H	-0.2399870	0.0000000	0.9266270
H	0.9572000	0.0000020	0.0000000
Lp	-0.2473730	0.5715440	-0.3196020
